ObjectID,GlobalID,quadphotos_VisitCode,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,Unit_Plot,BEST_Treat,Species,StartCM,EndCM,Length_m,HeightClass,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,,,
1843,cb69e146-85fa-4b47-bc2f-c1eeb939ec27,25,LonePine,Pre,Control,Yes,BEST,,25,BEST25,NA,SYRO,30,72,0.42,a,,a4681c68-32e3-48fb-8462-59abeff5f4a2,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-1940,NA
1830,07c00e96-3527-4cab-8e85-f1f59e81bed6,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,QUGA,2012,2463,4.51,b,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1398,CHECK
4779,4f21ee67-8b44-4924-9798-254f7124949b,33,LonePine,Pre,Control,Yes,BEST,,33,BEST33,NA,QUGA,1065,1515,4.5,a,,2a617e39-e8ee-4158-9355-1c29d0057bc7,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,-348,NA
2201,24d9d144-3af0-4bd8-899a-8d77153579c9,37,LonePine,Pre,Control,Yes,BEST,,37,BEST37,NA,QUGA,1863,2310,4.47,b,,b5b2f0fa-48ce-4206-ae9c-dc9b2b3d8507,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,2028,CHECK
1768,c1af35e1-3ba5-4233-8471-8784dfdfe8aa,31,LonePine,Pre,Control,Yes,BEST,,31,BEST31,NA,QUGA,282,728,4.46,b,,ba787ef1-9f91-417a-9faf-b1e3b04690eb,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-2264,NA
1842,256c1d02-8222-44ff-9e9c-0db8aa4a7d68,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,AMAL2,2992,2996,0.04,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,2554,CHECK
1796,bccef3a8-9a22-4269-bf18-55d8b024bece,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,AMAL2,442,446,0.04,a,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,34,CHECK
1269,ace4fae2-1124-4e40-a1b2-b14cf26ed821,53,LonePine,Pre,LTR,Yes,BEST,,53,BEST53,70_BA,AMAL2,412,416,0.04,a,,378e43db-2007-478c-a895-ac677d0abe6b,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-2389,NA
983,df924bcc-9fc3-456f-9375-ae15a2f02bfb,60,LonePine,Pre,LTR,Yes,BEST,,60,BEST60,90_BA,AMAL2,2805,2809,0.04,a,,06f83286-621b-46e0-b55b-4edfbd0b3c6b,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,803,CHECK
1829,5533627f-5503-4d41-b1ed-5e0a6104dfcc,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,AMAL2,2006,2011,0.05,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-389,NA
1683,fe2c4a89-577c-48ae-9547-5847642da88c,29,LonePine,Pre,Control,Yes,BEST,,29,BEST29,NA,QUGA,2400,2809,4.09,b,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,761,CHECK
1857,958c6ed6-47e5-4f26-9331-ab1f28d16275,25,LonePine,Pre,Control,Yes,BEST,,25,BEST25,NA,SYRO,2048,2061,0.13,a,,a4681c68-32e3-48fb-8462-59abeff5f4a2,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,2035,CHECK
1793,9569c8f9-6ea7-489c-850b-ee7251c358a7,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,AMAL2,26,31,0.05,a,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-882,NA
1659,298ac02d-824e-4dda-be59-e2fee926c190,29,LonePine,Pre,Control,Yes,BEST,,29,BEST29,NA,AMAL2,913,918,0.05,a,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,766,CHECK
1846,30eca2ad-f21f-467d-bc0d-a5b28b5af6a9,25,LonePine,Pre,Control,Yes,BEST,,25,BEST25,NA,QUGA,152,487,3.35,b,,a4681c68-32e3-48fb-8462-59abeff5f4a2,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-2033,NA
1999,68dc1547-6001-4d2f-9ede-7d446cdb22ea,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,2520,2800,2.8,a,,1c3a1c11-cd00-4a47-9e51-dfa885b3fb27,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell,,77,CHECK
2231,11f75645-2f5f-450e-94a7-920adf9fb18f,36,LonePine,Pre,Control,Yes,BEST,,36,BEST36,NA,QUGA,2723,3000,2.77,b,,c226d256-fb51-40f0-82c7-a6be17f1c973,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,700,CHECK
2003,3cca36c5-ff42-4627-8d58-cf84754c5957,35,LonePine,Pre,Control,Yes,BEST,,35,BEST35,NA,QUGA,2300,2570,2.7,a,,bcd16c2b-89be-4938-97c1-ea5dc159ac13,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell,,480,CHECK
4793,b21d05c1-5247-4098-a64e-f1deac262db5,36,LonePine,Pre,Control,Yes,BEST,,36,BEST36,NA,QUGA,2090,2353,2.63,b,,b1ca42c9-abc3-4a5a-b3fc-fd9e7f23e432,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,-119,NA
1862,2055ad18-3aaa-4a19-a0c1-bafc986a2ba6,25,LonePine,Pre,Control,Yes,BEST,,25,BEST25,NA,QUGA,2472,2732,2.6,b,,a4681c68-32e3-48fb-8462-59abeff5f4a2,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1863,CHECK
2212,73977ce8-bf7f-4b20-b9bc-411b083f88da,37,LonePine,Pre,Control,Yes,BEST,,37,BEST37,NA,AMAL2,869,874,0.05,a,,b5b2f0fa-48ce-4206-ae9c-dc9b2b3d8507,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,-1696,NA
4796,23638ff6-e0a9-44a6-ae30-ec3abee53089,36,LonePine,Pre,Control,Yes,BEST,,36,BEST36,NA,QUGA,2570,2830,2.6,a,,b1ca42c9-abc3-4a5a-b3fc-fd9e7f23e432,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,140,CHECK
4767,1831dabc-fc15-46de-9fb1-3bf390b0d8c1,38,LonePine,Pre,Control,Yes,BEST,,38,BEST38,NA,QUGA,2690,2945,2.55,a,,19d8fe36-1656-4238-aa5e-679cc1ac204e,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,2608,CHECK
1266,11cb1e23-7a58-4f42-85f1-5ccfac17d7ef,53,LonePine,Pre,LTR,Yes,BEST,,53,BEST53,70_BA,AMAL2,337,342,0.05,a,,378e43db-2007-478c-a895-ac677d0abe6b,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-126,NA
1655,cc6cd019-6938-454b-9f32-b58958df3341,29,LonePine,Pre,Control,Yes,BEST,,29,BEST29,NA,QUGA,468,722,2.54,a,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-2074,NA
1839,7fee0f0e-9957-4bbe-a2a8-eda63ca30727,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,SYRO,2796,2862,0.66,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,197,CHECK
1723,ebdd40b7-1f7e-415e-ab8a-209887c73ad9,30,LonePine,Pre,Control,Yes,BEST,,30,BEST30,NA,QUGA,2665,2908,2.43,a,,b5214f5f-c305-4694-abcc-eafd0abdf1bf,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,2280,CHECK
1822,35c6db5e-0065-4ddc-bd53-43b9e3462f73,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,SYRO,628,688,0.6,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-14,NA
4818,cdf66626-d4d6-421a-ab81-5b748f12d4b8,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,702,910,2.08,b,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,-200,NA
1990,23296a9a-f46f-4df4-b9fb-166ea97ddd21,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,1110,1310,2,b,,1c3a1c11-cd00-4a47-9e51-dfa885b3fb27,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell,,-724,NA
1678,e4dcf4c4-9ac7-40b9-a7e3-5094f3f1e74b,29,LonePine,Pre,Control,Yes,BEST,,29,BEST29,NA,QUGA,2034,2228,1.94,a,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,1938,CHECK
1986,cd02f2b1-1d5b-42e9-9821-549b27cd9627,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,290,484,1.94,a,,1c3a1c11-cd00-4a47-9e51-dfa885b3fb27,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell,,-2411,NA
958,6f1847e8-a609-4f02-9bac-b28359d7a1a1,61,LonePine,Pre,LTR,Yes,BEST,,61,BEST61,90_BA,AMAL2,2895,2900,0.05,a,,c8535328-1cdf-4961-9b69-962239583c64,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,2317,CHECK
1821,5e185f3e-1dbd-48d6-8835-a3595bb3a4fc,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,SYRO,583,615,0.32,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,347,CHECK
2234,6db48a07-b9e0-4360-944f-4753b88d7c6d,38,LonePine,Pre,Control,Yes,BEST,,38,BEST38,NA,PRVI,268,274,0.06,a,,19897315-9a51-4882-8350-e29b75e0ff1b,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,-358,NA
1273,da8fde65-df32-4d2e-834f-990942966e42,53,LonePine,Pre,LTR,Yes,BEST,,53,BEST53,70_BA,AMAL2,632,638,0.06,a,,378e43db-2007-478c-a895-ac677d0abe6b,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-1507,NA
1831,248b23a9-fa6a-4793-921c-bbfeba0ab403,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,SYRO,2145,2168,0.23,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1390,CHECK
1230,48735e5f-fe59-4e66-a1e2-972941d958bf,56,LonePine,Pre,LTR,Yes,BEST,,56,BEST56,70_BA,AMAL2,778,784,0.06,a,,824f0609-8a50-4016-8354-08ce2db21c3f,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-1475,NA
1786,e9f5f68c-32b3-4f8b-87e0-14cf2e8adea7,31,LonePine,Pre,Control,Yes,BEST,,31,BEST31,NA,QUGA,2259,2445,1.86,a,,ba787ef1-9f91-417a-9faf-b1e3b04690eb,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1989,CHECK
1818,2f943923-8a11-487d-b0a1-705818c4076b,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,SYRO,456,473,0.17,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-1500,NA
4764,7789863f-cff5-4db0-9f4b-c000e223bc33,38,LonePine,Pre,Control,Yes,BEST,,38,BEST38,NA,AMAL2,1973,1980,0.07,a,,19d8fe36-1656-4238-aa5e-679cc1ac204e,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,1299,CHECK
1274,01b7770b-044f-4090-89fa-f7ede4b5158f,53,LonePine,Pre,LTR,Yes,BEST,,53,BEST53,70_BA,AMAL2,681,688,0.07,a,,378e43db-2007-478c-a895-ac677d0abe6b,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-1080,NA
973,51b447e3-2729-4ac2-a3df-4e08de7df2f1,60,LonePine,Pre,LTR,Yes,BEST,,60,BEST60,90_BA,AMAL2,1768,1775,0.07,a,,06f83286-621b-46e0-b55b-4edfbd0b3c6b,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,997,CHECK
1825,2c0447dd-1b9d-41f1-a8e3-294ed0fd38c7,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,SYRO,778,785,0.07,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-1688,NA
948,1ae13267-6dc9-4fa8-a8a8-3cf940a1f1b1,61,LonePine,Pre,LTR,Yes,BEST,,61,BEST61,90_BA,AMAL2,2473,2480,0.07,a,,c8535328-1cdf-4961-9b69-962239583c64,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-395,NA
957,7008d28f-5ee2-4351-9cfd-2cdd0f69fd88,61,LonePine,Pre,LTR,Yes,BEST,,61,BEST61,90_BA,AMAL2,2875,2882,0.07,a,,c8535328-1cdf-4961-9b69-962239583c64,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,1177,CHECK
1828,d857ae19-7754-428a-97d8-aedb991bb904,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,QUGA,1705,1883,1.78,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1452,CHECK
1817,4ffc836a-3660-4711-998a-dc06de623a36,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,AMAL2,431,439,0.08,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-590,NA
2210,9f0c1438-3b23-4cef-b87f-72641fd542fc,37,LonePine,Pre,Control,Yes,BEST,,37,BEST37,NA,QUGA,1029,1190,1.61,b,,b5b2f0fa-48ce-4206-ae9c-dc9b2b3d8507,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,450,CHECK
2005,19a493dc-d857-478a-a192-59bfb63f69db,35,LonePine,Pre,Control,Yes,BEST,,35,BEST35,NA,QUGA,740,890,1.5,a,,bcd16c2b-89be-4938-97c1-ea5dc159ac13,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell,,-7,NA
1799,ef976073-ce06-4804-9882-689d45adc9d3,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,QUGA,897,1042,1.45,b,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,682,CHECK
2009,4806cef1-40c9-4f44-9687-b5539e7b1be1,35,LonePine,Pre,Control,Yes,BEST,,35,BEST35,NA,QUGA,360,500,1.4,a,,bcd16c2b-89be-4938-97c1-ea5dc159ac13,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell,,103,CHECK
1728,54115d98-2ccf-4b47-ab89-16dcf1783a9c,28,LonePine,Pre,Control,Yes,BEST,,28,BEST28,NA,QUGA,397,535,1.38,a,,c5df96e6-ea30-40f9-b0f4-a4b6ecab5420,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,0,NA
1797,685bb9ca-e131-4924-9e1e-f664f321243e,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,SYRO,535,582,0.47,a,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,184,CHECK
1794,4eec8ae4-59e1-42e6-9365-5b793d0f69a6,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,AMAL2,398,406,0.08,b,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-2242,NA
1837,e0c3d224-c852-40a7-96ad-768ff9b1b20c,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,QUGA,2648,2782,1.34,b,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1951,CHECK
2168,a2a2b769-4afe-4d99-9bf5-327a9b997a21,33,LonePine,Pre,Control,Yes,BEST,,33,BEST33,NA,QUGA,831,961,1.3,a,,8177f26d-c120-4905-9637-ca62321d51f1,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,-1675,NA
1811,99581199-2edb-4b62-82ae-749ea9e954c9,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,SYRO,2636,2658,0.22,a,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,660,CHECK
1810,9bd6bf43-257a-45a5-bc42-004edb30ec15,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,QUGA,1998,2123,1.25,b,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-323,NA
1752,eb381996-7bf6-4397-88d7-caf333a5c248,28,LonePine,Pre,Control,Yes,BEST,,28,BEST28,NA,QUGA,2446,2571,1.25,b,,c5df96e6-ea30-40f9-b0f4-a4b6ecab5420,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,48,CHECK
1687,23b69ef7-145c-4231-ae44-9b11eff426ac,29,LonePine,Pre,Control,Yes,BEST,,29,BEST29,NA,PRVI,2523,2531,0.08,a,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,763,CHECK
1804,601ea11a-d992-4f31-a10c-a3fb742fa908,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,SYRO,1768,1774,0.06,a,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1268,CHECK
2442,6c011da7-b5d7-4539-b009-23ac6a481297,45,LonePine,Pre,LTR,No,BEST,,45,BEST45,90_BA,AMAL2,506,514,0.08,a,,37931d79-f5df-4d80-a085-1af0e355da9a,8/11/2020 2:28,MSI.swindell,8/11/2020 2:28,MSI.swindell,,-1281,NA
1281,7bf9dcdb-d614-442c-bd62-b0015564fc2c,53,LonePine,Pre,LTR,Yes,BEST,,53,BEST53,70_BA,AMAL2,1795,1803,0.08,a,,378e43db-2007-478c-a895-ac677d0abe6b,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,1624,CHECK
1196,2f953f06-9253-4489-88bf-b0f054941e25,55,LonePine,Pre,LTR,Yes,BEST,,55,BEST55,70_BA,AMAL2,179,187,0.08,a,,a77ff22a-4c78-4265-80be-56728a167a23,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,-1081,NA
1801,a1716595-bdc0-48e3-9874-6fa77884c468,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,QUGA,1268,1389,1.21,b,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-956,NA
1749,35ff66b1-e9d3-4f77-a074-6015c946bf0f,28,LonePine,Pre,Control,Yes,BEST,,28,BEST28,NA,QUGA,2345,2465,1.2,a,,c5df96e6-ea30-40f9-b0f4-a4b6ecab5420,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,2465,CHECK
2159,2bc011d9-0113-40d8-a508-0558032364c4,33,LonePine,Pre,Control,Yes,BEST,,33,BEST33,NA,QUGA,0,120,1.2,b,,8177f26d-c120-4905-9637-ca62321d51f1,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,-750,NA
2211,608ed890-d19e-4685-acea-4c1aa07f38d0,37,LonePine,Pre,Control,Yes,BEST,,37,BEST37,NA,QUGA,870,989,1.19,b,,b5b2f0fa-48ce-4206-ae9c-dc9b2b3d8507,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,#REF!,#REF!
1840,81efe909-4f7d-492f-b45c-1993b7f79be7,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,QUGA,2822,2936,1.14,b,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,1158,CHECK
1805,95ea48f4-1402-4184-9aa9-65ac63d5c328,27,LonePine,Pre,Control,Yes,BEST,,27,BEST27,NA,QUGA,1778,1892,1.14,b,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,192,CHECK
4825,52cdf761-451c-46da-bac2-e13bee091a63,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,1700,1811,1.11,b,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,276,CHECK
1739,65b11f0c-6c7b-49c6-bae7-690972394eb6,28,LonePine,Pre,Control,Yes,BEST,,28,BEST28,NA,SYRO,1535,1597,0.62,a,,c5df96e6-ea30-40f9-b0f4-a4b6ecab5420,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-593,NA
1998,14888cb2-2b55-4bc1-8d4e-89bf062044bb,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,2190,2300,1.1,a,,1c3a1c11-cd00-4a47-9e51-dfa885b3fb27,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell,,1686,CHECK
1695,7a1bb9e5-e5ec-4328-91fe-40ba399c08dc,30,LonePine,Pre,Control,Yes,BEST,,30,BEST30,NA,QUGA,614,720,1.06,b,,b5214f5f-c305-4694-abcc-eafd0abdf1bf,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell,,317,CHECK
1816,b7fd1c76-4b61-48c2-85cc-6c02cc2005c7,26,LonePine,Pre,Control,Yes,BEST,,26,BEST26,NA,AMAL2,403,412,0.09,a,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,-1392,NA
4827,d6ad502b-8b94-480a-9352-a55a8d5a1bf5,34,LonePine,Pre,Control,Yes,BEST,,34,BEST34,NA,QUGA,1804,1910,1.06,a,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest,,-773,NA
1755,54626d2e-9b95-44eb-a6e2-3a25223f30fb,28,LonePine,Pre,Control,Yes,BEST,,28,BEST28,NA,SYRO,2683,2722,0.39,a,,c5df96e6-ea30-40f9-b0f4-a4b6ecab5420,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell,,2102,CHECK
2236,65a14f96-6eec-4421-9640-a269be8321ed,38,LonePine,Pre,Control,Yes,BEST,,38,BEST38,NA,QUGA,620,722,1.02,b,,19897315-9a51-4882-8350-e29b75e0ff1b,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell,,-2027,NA
