ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Number of hits,Species,Canopy Class,PercentCover,Clump,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
80,f9ad3aff-da29-4f95-ad99-2d44483904f9,LonePine,Pre,STS,Yes,Fader,,2,NA,5,POTR5,Codom,16.66666667,14,,94fbb7c0-7a46-4d41-a034-52120599b65e,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
83,04e13628-da4a-4e9c-97c4-cae4f0058bbf,LonePine,Pre,STS,Yes,Fader,,2,NA,2,QUGA,Codom,6.666666667,8,,94fbb7c0-7a46-4d41-a034-52120599b65e,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
93,05d94469-2015-4b9c-ad2f-e8f8e308e44c,LonePine,Pre,STS,Yes,Fader,,3,NA,2,PIPO,Codom,6.666666667,2,,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
95,7d87c973-f66e-4bb0-ab87-2afbe6245dfb,LonePine,Pre,STS,Yes,Fader,,3,NA,3,PIPO,Codom,10,2,Amelanchier,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
96,45073f63-d76e-464d-b77c-522e4b606e1d,LonePine,Pre,STS,Yes,Fader,,3,NA,2,PIPO,Codom,6.666666667,2,,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
98,e019fea8-7a5f-4b65-8b7d-8286f30bf2a1,LonePine,Pre,STS,Yes,Fader,,3,NA,3,PIPO,Midstory,10,3,,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
100,5c1c540e-0dc5-4e9e-8cb0-f96c6a165428,LonePine,Pre,STS,Yes,Fader,,3,NA,1,PIPO,Codom,3.333333333,3,,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
99,9fcbc066-ee63-44b1-a521-4cf5e45e5baf,LonePine,Pre,STS,Yes,Fader,,3,NA,3,PIPO,Codom,10,4,,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
97,f0103f92-a135-4589-b2e2-84f952b88158,LonePine,Pre,STS,Yes,Fader,,3,NA,3,PIPO,Codom,10,1,,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
94,ba3dd37c-5a9d-43f8-9dad-9cf4bc33175c,LonePine,Pre,STS,Yes,Fader,,3,NA,5,QUGA,Codom,16.66666667,9,,180e6a37-8f8a-41bb-ad9b-7182145c932e,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
104,4fdf6820-74b7-45aa-b201-cebc8e944399,LonePine,Pre,STS,Yes,Fader,,4,NA,1,PIPO,Midstory,3.333333333,2,,37eb1e4f-730d-4ea9-b3f6-97151a957772,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
102,31d72cbd-8f04-4922-b7e7-e3c495e47ef5,LonePine,Pre,STS,Yes,Fader,,4,NA,6,PIPO,Midstory,20,4,,37eb1e4f-730d-4ea9-b3f6-97151a957772,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
103,afe53c9f-2365-4159-8724-10844952232a,LonePine,Pre,STS,Yes,Fader,,4,NA,10,PIPO,Midstory,33.33333333,1,,37eb1e4f-730d-4ea9-b3f6-97151a957772,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
34,0f360a68-8e3b-407b-b772-4d97ccea8cd5,LonePine,Pre,STS,Yes,Fader,,5,NA,14,PIPO,Codom,46.66666667,1,,fa9b7ea6-60a8-4ac9-a1f7-e0b515730b9a,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
35,e10e859f-5597-4f93-a3b3-2ff606b175a2,LonePine,,STS,Yes,Fader,,5,NA,4,PIPO,Codom,13.33333333,2,,fa9b7ea6-60a8-4ac9-a1f7-e0b515730b9a,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
31,78bcfda5-361a-40f0-b908-1664247abbcc,LonePine,Pre,STS,Yes,Fader,,6,NA,17,PIPO,Codom,56.66666667,1,,85e17d2f-c8ca-4e5a-bde4-508067f883bb,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
32,de1f93ab-df1e-4d7f-97cb-c31f8c44e908,LonePine,Pre,STS,Yes,Fader,,6,NA,6,QUGA,Midstory,20,7,,85e17d2f-c8ca-4e5a-bde4-508067f883bb,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
28,42374264-9ad5-4093-89c2-9a4a20302d47,LonePine,Pre,STS,Yes,Fader,,7,NA,26,PIPO,Superstory,86.66666667,2,,eaeb12a0-4361-473e-9095-3210cfe997ed,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
27,dbe96a86-719b-47cd-99b5-0e01885dcf77,LonePine,Pre,STS,Yes,Fader,,7,NA,24,POTR5,Midstory,80,8,,eaeb12a0-4361-473e-9095-3210cfe997ed,7/16/2020 22:04,MSI.swindell,7/16/2020 22:04,MSI.swindell
118,417081aa-a7cd-463d-b951-0f2cd8ed974a,LonePine,Pre,STS,Yes,Fader,,8,NA,8,PIPO,Codom,26.66666667,1,,d04bfc4f-3038-46a0-94b1-fbadf30bd96a,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
117,3db44f42-98d8-42bc-b3c8-189369fa60db,LonePine,Pre,STS,Yes,Fader,,8,NA,,QUGA,Midstory,,3,,d04bfc4f-3038-46a0-94b1-fbadf30bd96a,7/16/2020 22:05,MSI.swindell,7/16/2020 22:05,MSI.swindell
688,37609459-167b-4dfe-a3ce-27450e8b988c,LonePine,Pre,STS,Yes,Fader,,9,NA,9,PIPO,Codom,30,2,,3185b2bb-7678-47b3-905d-5caedbab343d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
684,f2a51cea-209f-4348-a73f-dc080d048062,LonePine,Pre,STS,Yes,Fader,,10,NA,15,PIPO,Codom,50,2,,844821e2-2ce5-430e-9199-d7a797ff9f5d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
685,2f23bbb2-815c-4401-a214-c1fbdbd39575,LonePine,Pre,STS,Yes,Fader,,10,NA,5,PIPO,Codom,16.66666667,1,,844821e2-2ce5-430e-9199-d7a797ff9f5d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
399,acefc7f9-3aa4-49f1-a4bf-b8ceb1d3b502,LonePine,Rx,STS,No,Fader,DOLC_1_1,11,NA,5,PIPO,Codom,16.66666667,1,,4006042f-95a1-4ebe-88d2-9a58f69c2e24,8/11/2020 2:26,MSI.swindell,8/11/2020 2:26,MSI.swindell
682,8be124f8-179a-49ff-9b1e-8841201a7f1f,LonePine,Pre,STS,Yes,Fader,,11,NA,8,PIPO,Codom,26.66666667,2,,aa212a85-3221-4609-865c-aa79a9be723d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
681,a4bb046a-41d5-47e5-9c3f-e84122811a1b,LonePine,Pre,STS,Yes,Fader,,11,NA,2,QUGA,Midstory,6.666666667,,,aa212a85-3221-4609-865c-aa79a9be723d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
398,bdb2b501-0871-41d3-b0ab-a4fc242ee65d,LonePine,Rx,STS,No,Fader,DOLC_1_2,12,NA,5,PIPO,Codom,16.66666667,1,,78a809f0-8ff8-4bae-9fe4-6da152168b7d,8/11/2020 2:26,MSI.swindell,8/11/2020 2:26,MSI.swindell
677,be27ce1b-5e73-48a5-b988-1149e67fdc9b,LonePine,Pre,STS,Yes,Fader,,12,NA,8,PIPO,Codom,26.66666667,1,,1886c521-b12e-4026-b104-5cf6cc8b1ce8,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
397,e4fd62ff-3bdb-4c46-a742-a3e83c2e4a4d,LonePine,Rx,STS,No,Fader,DOLC_1_3,13,NA,5,PIPO,Codom,16.66666667,2,,63b9f99f-6a7a-42c0-89c6-8ac0f6d69ea5,8/11/2020 2:26,MSI.swindell,8/11/2020 2:26,MSI.swindell
396,eae0b53e-ec34-4bbd-80db-6f6348c369f5,LonePine,Rx,STS,No,Fader,DOLC_1_3,13,NA,2,PIPO,Codom,6.666666667,3,,63b9f99f-6a7a-42c0-89c6-8ac0f6d69ea5,8/11/2020 2:26,MSI.swindell,8/11/2020 2:26,MSI.swindell
697,a30010eb-3aa1-4f69-a682-7bcb50cc1db7,LonePine,Pre,STS,Yes,Fader,,13,NA,4,PIPO,Codom,13.33333333,1,,336a9ed9-3190-4454-90b3-1e235804942b,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
696,537d15d4-61ab-41e1-b111-a189246e7fab,LonePine,Pre,STS,Yes,Fader,,13,NA,3,QUGA,Midstory,10,4,,336a9ed9-3190-4454-90b3-1e235804942b,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
698,6b92c186-f3cf-4c5d-856f-17dfe3192a06,LonePine,Pre,STS,Yes,Fader,,14,NA,16,PIPO,Codom,53.33333333,1,,448cce2b-2033-4e54-8911-51fc9aa3423c,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
694,ab2c9e61-3652-4b7c-987c-6a904032460d,LonePine,Pre,STS,No,Fader,,15,NA,4,QUGA,Midstory,13.33333333,2,,13aab2ca-6348-480b-9e90-c30833581eed,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
695,34fd3b05-7c44-43c4-829f-20c74d4c85ba,LonePine,Pre,STS,Yes,Fader,,15,NA,5,QUGA,,16.66666667,3,,13aab2ca-6348-480b-9e90-c30833581eed,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
691,ed78468a-c913-454d-97bb-2833ccfc4161,LonePine,Pre,STS,Yes,Fader,,16,NA,15,PIPO,Codom,50,1,,234b812a-7fe2-4e0c-ac2d-36522077367d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
692,2135ed62-1d1a-467e-ac3f-073a32470166,LonePine,Pre,STS,Yes,Fader,,16,NA,4,QUGA,Midstory,13.33333333,4,,234b812a-7fe2-4e0c-ac2d-36522077367d,8/22/2020 17:55,MSI.swindell,8/22/2020 17:55,MSI.swindell
759,a7d97be4-6866-460d-847c-c5ca2b60c864,LonePine,Pre,Control ,Yes,GladeCanyon,,18,NA,16,PIPO,Codom,53.33333333,1,,bd39c9d9-c79d-4a04-be83-f711b60cdea7,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
763,56a27718-da1a-454d-95ae-4262722c30c8,LonePine,Pre,Control ,Yes,GladeCanyon,,20,NA,7,PIPO,Codom,23.33333333,1,,a2ea41b6-4a72-411c-8783-68d026adba78,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
780,d7055860-3ce4-4443-9205-e16b30a5e17b,LonePine,Pre,Control ,Yes,GladeCanyon,,22,NA,3,QUGA,Midstory,10,5,,71401a28-6f20-4d3c-8f83-d9c1b17a837b,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
782,c43dda9f-e961-4274-9764-fee951c83f7a,LonePine,Pre,Control ,Yes,GladeCanyon,,23,NA,5,PIPO,Codom,16.66666667,4,,4b40c5a1-d485-4860-8357-0b523e5f59f6,8/27/2020 18:38,MSI.swindell,8/27/2020 18:38,MSI.swindell
961,b0615d03-cda8-45af-b323-1fdc6390bc54,LonePine,Pre,Control,Yes,Brenna_thesis,,25,NA,1,PIPO,Codom,3.333333333,3,,849ccc87-ea64-4b97-bad2-f9fb2114e313,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
962,98b36ac5-4003-49cc-abe8-db6fda148652,LonePine,Pre,Control,Yes,Brenna_thesis,,25,NA,2,PIPO,Codom,6.666666667,6,,849ccc87-ea64-4b97-bad2-f9fb2114e313,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
963,ea7013e6-ca31-4d59-873f-339dd4d39629,LonePine,Pre,Control,Yes,Brenna_thesis,,25,NA,6,PIPO,Codom,20,1,,849ccc87-ea64-4b97-bad2-f9fb2114e313,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
964,fac7b84f-4e4c-4bbc-a7bd-42081fbeea0e,LonePine,Pre,Control,Yes,Brenna_thesis,,25,NA,4,QUGA,Midstory,13.33333333,10,,849ccc87-ea64-4b97-bad2-f9fb2114e313,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
276,ebebdae0-1097-4c08-bb01-eb1c02293c5a,LonePine,Pre,Control,Yes,BEST,,26,NA,13,PIPO,Codom,43.33333333,1,,8916347b-d72a-4564-9093-d26020941c92,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
957,9b3a7f5e-0444-41fb-a603-7265e25239db,LonePine,Pre,Control,Yes,Brenna_thesis,,26,NA,,PIPO,Codom,,2,,3b565492-9218-45f4-a46f-473e8671546a,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
958,26e105ea-f2ba-4f84-a39a-4531251e768a,LonePine,Pre,Control,Yes,Brenna_thesis,,26,NA,2,PIPO,Midstory,6.666666667,1,,3b565492-9218-45f4-a46f-473e8671546a,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
275,29017e6f-e03e-4553-b3c7-605477fdebbf,LonePine,Pre,Control,Yes,BEST,,27,NA,9,PIPO,Codom,30,1,,c9d78235-e722-4f14-90d6-724207cd172a,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
267,7ee41645-9895-4b8a-b4b5-6bd4d248ecaa,LonePine,Pre,Control,Yes,BEST,,28,NA,30,NONE,,100,,No canopy cover what so ever,c5df96e6-ea30-40f9-b0f4-a4b6ecab5420,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
941,ac85e925-9861-4280-b75a-819ce385314a,LonePine,Pre,Control,Yes,Brenna_thesis,,28,NA,6,PIPO,Codom,20,2,,a90ffa23-1e98-4d23-8b1f-3d36f332f442,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
940,915fc3d5-8d21-48f1-a380-1ab3d8dbb2a1,LonePine,Pre,Control,Yes,Brenna_thesis,,28,NA,3,QUGA,Midstory,10,5,,a90ffa23-1e98-4d23-8b1f-3d36f332f442,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
262,ff7d453b-617e-4f99-9f25-da10eec34548,LonePine,Pre,Control,Yes,BEST,,29,NA,2,PIPO,Codom,6.666666667,1,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell
264,985bd53b-3413-437b-aac5-ab7b19af55de,LonePine,Pre,Control,Yes,BEST,,29,NA,2,PIPO,Codom,6.666666667,2,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell
263,0977e164-776d-491d-bf4f-8903787f01aa,LonePine,Pre,Control,Yes,BEST,,29,NA,12,PIPO,Codom,40,4,,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell
265,fafbd246-96d3-4705-a291-5ceb8555a7e4,LonePine,Pre,Control,Yes,BEST,,29,NA,5,PIPO,Codom,16.66666667,1,Beetle kill,78805dd5-acb5-4c32-863f-49175ae9357c,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell
934,e51d2f6b-e535-4eea-8455-cd20fc9406b2,LonePine,Pre,Control,Yes,Brenna_thesis,,29,NA,2,PIPO,Codom,6.666666667,2,,ed04c6e6-f920-4887-af51-0fbb929b98f0,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
935,a1453463-0b95-4f31-ac6b-bd577a64c135,LonePine,Pre,Control,Yes,Brenna_thesis,,29,NA,1,PIPO,Midstory,3.333333333,1,,ed04c6e6-f920-4887-af51-0fbb929b98f0,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
266,bca7c618-6acc-4b2c-b09c-595b3befb854,LonePine,Pre,Control,Yes,BEST,,30,NA,17,PIPO,Codom,56.66666667,1,,b5214f5f-c305-4694-abcc-eafd0abdf1bf,7/23/2020 14:48,MSI.swindell,7/23/2020 14:48,MSI.swindell
937,61723d2b-9869-4f81-901b-a471959b1316,LonePine,Pre,Control,Yes,Brenna_thesis,,30,NA,7,PIPO,Codom,23.33333333,1,,9cfb6ad8-cabd-458f-b97e-f730591fdf13,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
272,7d973d22-f5af-48b0-b5b6-32e68556b62a,LonePine,Pre,Control,Yes,BEST,,31,NA,4,PIPO,Codom,13.33333333,2,Beetle kill,ba787ef1-9f91-417a-9faf-b1e3b04690eb,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
271,753dd07b-c901-4d69-bde0-0798d9728cf0,LonePine,Pre,Control,Yes,BEST,,31,NA,2,PIPO,Midstory,6.666666667,1,,ba787ef1-9f91-417a-9faf-b1e3b04690eb,7/23/2020 14:49,MSI.swindell,7/23/2020 14:49,MSI.swindell
946,b6457c6a-a9ac-403e-9b89-2219022417f0,LonePine,Pre,Control,Yes,Brenna_thesis,,31,NA,10,PIPO,Codom,33.33333333,3,,0af5b654-191b-4200-8fb8-5696523653ed,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
949,03f3e8a6-5fcd-40c6-a7ca-da6bfa8488ba,LonePine,Pre,Control,Yes,Brenna_thesis,,31,NA,7,PIPO,Codom,23.33333333,1,,0af5b654-191b-4200-8fb8-5696523653ed,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
947,5dd3f192-90ae-452c-abba-9b6c45168ca7,LonePine,Pre,Control,Yes,Brenna_thesis,,31,NA,3,QUGA,Midstory,10,4,,0af5b654-191b-4200-8fb8-5696523653ed,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
948,764aa058-f9af-410d-a4a5-5c00c78b62a5,LonePine,Pre,Control,Yes,Brenna_thesis,,31,NA,3,QUGA,Midstory,10,5,,0af5b654-191b-4200-8fb8-5696523653ed,9/17/2020 20:09,MSI.forest,9/17/2020 20:09,MSI.forest
997,9bd22031-5a4a-462f-8976-c61215225be9,LonePine,Pre,Control,Yes,Brenna_thesis,,32,NA,5,PIPO,Codom,16.66666667,3,,d0b79c0b-7ed8-44de-918e-a3165909380c,9/17/2020 20:10,MSI.forest,9/17/2020 20:10,MSI.forest
422,139c324b-e467-403d-84e0-dbcaadd94ad1,LonePine,Pre,Control,Yes,LakeCanyon,,32,NA,2,QUGA,Midstory,6.666666667,7,,150b717e-0d8d-4d93-aea6-74a46c2a4039,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell
1007,3343a82a-62fa-4407-8494-2b38a0e9da19,LonePine,Pre,Control,Yes,Brenna_thesis,,33,NA,8,PIPO,Codom,26.66666667,2,,2a617e39-e8ee-4158-9355-1c29d0057bc7,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1009,e3d69fce-896a-4acd-98db-214dce4c9ccf,LonePine,Pre,Control,Yes,Brenna_thesis,,33,NA,2,PIPO,Codom,6.666666667,3,,2a617e39-e8ee-4158-9355-1c29d0057bc7,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1008,77ae362a-b12f-4b83-a604-aaf4e62742a8,LonePine,Pre,Control,Yes,Brenna_thesis,,33,NA,6,PIPO,Codom,20,1,,2a617e39-e8ee-4158-9355-1c29d0057bc7,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
414,d1d2c6a8-db5c-43ae-9ced-10ab0036e9f3,LonePine,Pre,Control,Yes,LakeCanyon,,33,NA,20,PIPO,Codom,66.66666667,1,,8177f26d-c120-4905-9637-ca62321d51f1,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell
1020,ba1e98c6-e341-44e9-9781-403e280e1f3b,LonePine,Pre,Control,Yes,Brenna_thesis,,34,NA,6,PIPO,Codom,20,2,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1017,a41d15c0-5b4c-49fa-908a-9c5f11db240c,LonePine,Pre,Control,Yes,Brenna_thesis,,34,NA,1,PIPO,Midstory,3.333333333,3,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1018,91196e24-5f6f-4e88-ab4c-a8546de489a9,LonePine,Pre,Control,Yes,Brenna_thesis,,34,NA,4,PIPO,Codom,13.33333333,5,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1019,03291c86-4825-464c-8580-46dd10a6e1e3,LonePine,Pre,Control,Yes,Brenna_thesis,,34,NA,2,PIPO,Codom,6.666666667,1,,2791c5b0-ffea-4b54-b280-630bbfe9f5a9,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
375,a9011a78-aa4f-489c-830c-ed61a0145a3e,LonePine,Pre,Control,Yes,LakeCanyon,,34,NA,3,PIPO,Codom,10,1,,1c3a1c11-cd00-4a47-9e51-dfa885b3fb27,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell
1014,e69556d4-33f6-40d5-b16e-70913a521e47,LonePine,Pre,Control,Yes,Brenna_thesis,,35,NA,4,PIPO,Codom,13.33333333,2,,f8b27263-13f2-4f09-9ccb-fb6df6868a13,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1015,605fa7ed-4e92-4aab-9f3b-3a7531d3dd80,LonePine,Pre,Control,Yes,Brenna_thesis,,35,NA,5,PIPO,Codom,16.66666667,1,,f8b27263-13f2-4f09-9ccb-fb6df6868a13,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
378,a3e8aa99-3ccf-4bd4-9df5-36ffb4aa5f95,LonePine,Pre,Control,Yes,LakeCanyon,,35,NA,1,PIPO,Codom,3.333333333,1,,bcd16c2b-89be-4938-97c1-ea5dc159ac13,7/30/2020 21:22,MSI.swindell,7/30/2020 21:22,MSI.swindell
1011,d65eb7ee-84bf-43d8-8725-01a16328029d,LonePine,Pre,Control,Yes,Brenna_thesis,,36,NA,4,PIPO,Codom,13.33333333,1,Dead,b1ca42c9-abc3-4a5a-b3fc-fd9e7f23e432,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
418,e7d499c3-3651-4a1f-9f09-9edc0c2ceaa2,LonePine,Pre,Control,Yes,LakeCanyon,,36,NA,13,PIPO,Codom,43.33333333,1,,c226d256-fb51-40f0-82c7-a6be17f1c973,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell
417,7d43914d-cfcf-4621-a1b5-dc915e7646fa,LonePine,Pre,Control,Yes,LakeCanyon,,36,NA,2,QUGA,Midstory,6.666666667,2,,c226d256-fb51-40f0-82c7-a6be17f1c973,8/11/2020 2:27,MSI.swindell,8/11/2020 2:27,MSI.swindell
1002,f43355cc-0b61-4d5d-a3bd-5f635954f326,LonePine,Pre,Control,Yes,Brenna_thesis,,37,NA,7,PIPO,Codom,23.33333333,2,,09b086e7-1c13-4679-a3da-b51390636c71,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1005,b4c50ce8-15f8-4559-8ae0-88720ca86ebe,LonePine,Pre,Control,Yes,Brenna_thesis,,37,NA,3,PIPO,Codom,10,3,,09b086e7-1c13-4679-a3da-b51390636c71,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
1003,455e5a97-ce52-4e80-817d-8d8f780940c8,LonePine,Pre,Control,Yes,Brenna_thesis,,37,NA,5,PIPO,Codom,16.66666667,1,,09b086e7-1c13-4679-a3da-b51390636c71,9/17/2020 20:11,MSI.forest,9/17/2020 20:11,MSI.forest
