Project Name,DateSampled,Plot Number,Unit name,Lon,Lat,BEST Treatment,Treatment,Unit,Monitoring Unit,Surveyors,Plot Notes,Transect Azimuth,Hillslope Aspect,Slope
Lone Pine,8/23/2022,62,BEST,-108.6513,37.7219,Yes,BEST,95BA,Yes,"JL,LH",AT INTERSECTION OF TWO SKID TRAILS. RE-EST CENTER USING PHOTOS. HEAVY DISTURBANCE. BEETLE KILL.,276,276,1
Lone Pine,8/23/2022,61,BEST,-108.6523,37.7225,Yes,BEST,95BA,Yes,"JL,LH",SKID TRAIL,306,306,1
Lone Pine,8/22/2022,63,BEST,-108.652,37.7219,Yes,BEST,95BA,Yes,"JL,LH",CENTER IS IN PATCH OF OAK NEXT TO LOG DECK. HEAVY DISTURBANCE.,200,200,1
Lone Pine,8/22/2022,43,BEST,-108.6556,37.7201,Yes,BEST,43,Yes,"JL,LH",,350,350,10
Lone Pine,8/22/2022,44,BEST,-108.6537,37.7205,Yes,BEST,90BA,Yes,"JL,LH",HEAVY DISTURBANCE. LOG DECKS IN VIEW.,142,142,5
Lone Pine,9/7/2022,56,BEST,-108.6515,37.7227,Yes,BEST,70BA,Yes,"JL,LH,AM",SLASH PILE NW QUAD,270,270,1
Lone Pine,9/6/2022,57,BEST,-108.65,37.7234,Yes,BEST,70BA,Yes,"jL,LH,AM",CENTER IN SKID TRAIL. CHEATGRASS ON SITE.,252,252,2
Lone Pine,9/6/2022,59,BEST,-108.6493,37.7235,Yes,BEST,70BA,Yes,"JL,LH,AM",RE-EST CENTER BETWEEN FLAGGING. MATCHED PHOTOS.,166,166,1
Lone Pine,9/6/2022,58,BEST,-108.6493,37.7241,Yes,BEST,70BA,Yes,"JL,LH,AM",,246,246,1
Lone Pine,9/6/2022,55,BEST,-108.6504,37.7243,Yes,BEST,70BA,Yes,"JL,LH,AM",RIGHT OFF SKID TRAIL,218,218,1
Lone Pine,9/6/2022,54,BEST,-108.6574,37.7247,Yes,BEST,70BA,Yes,"JL,LH,AM",PLOT CENTER JUST NORTH OF SLASH PILE IN LESS DISTURBED OAK AND SMALL PONDO,162,162,1
Lone Pine,9/6/2022,29,BEST,-108.6509,37.7253,Yes,BEST,Control,Yes,"JL,LH,AM",,248,248,1
Lone Pine,9/5/2022,28,BEST,-108.6501,37.7256,Yes,BEST,Control,Yes,"JL,LH,AM",RE-EST CENTER VERY CLOSE TO ORIGINAL. STUMPS LEFT OVER FROM TREATMENT. DEAD TREES TO NW OF CENTER.,218,218,1
Lone Pine,9/5/2022,30,BEST,-108.65,37.7257,Yes,BEST,Control,Yes,"JL,LH,AM",,228,228,1
Lone Pine,9/5/2022,31,BEST,-108.6492,37.7251,Yes,BEST,Control,Yes,"JL,LH,AM","RE-EST CENTER. MATCHED PHOTOS. STARTING TO THINK THERE WASN'T REBAR AT 27,28,31.",146,146,1
Lone Pine,9/5/2022,27,BEST,-108.6486,37.7253,Yes,BEST,Control,Yes,"JL,LH,AM",RE-EST CENTER. MATCHED PHOTOS. ,174,174,1
